Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3078116,Last Days of Summer,Steve Kluger,"Kluger, Steve",,"=""0606192662""","=""9780606192668""",0,4.38,Demco Media,Library Binding,353,2000,1998,,2018/11/17,to-read,to-read (#12),to-read,,,,0,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",5,4.13,Ecco,Hardcover,392,2015,2015,2018/11/15,2018/11/13,,,read,,,,1,0
43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin Sharma,"Sharma, Robin",,"=""0062515675""","=""9780062515674""",4,3.89,HarperOne,Paperback,208,1999,1996,2018/11/13,2018/11/12,,,read,,,,1,0
34274961,World Without Mind: The Existential Threat of Big Tech,Franklin Foer,"Foer, Franklin",,"=""1101981113""","=""9781101981115""",2,3.62,Penguin Press,Hardcover,272,2017,2017,2018/11/12,2018/11/05,,,read,,,,1,0
17693473,Welcome To The Broadcast,Don Newman,"Newman, Don",,"=""1443416843""","=""9781443416849""",0,3.50,HarperCollins Publishers,ebook,496,2013,2013,,2018/11/10,to-read,to-read (#11),to-read,,,,0,0
40580,Stupid White Men,Michael Moore,"Moore, Michael",,"=""0141019999""","=""9780141019994""",4,3.33,Penguin Group,Paperback,304,2004,2001,2018/11/10,2018/11/09,,,read,,,,1,0
39002103,Charlie White's 101 Fishing Secrets,Charles   White,"White, Charles",Nelson Dewey,"=""0888961537""","=""9780888961532""",3,3.00,Heritage House Publishing,Paperback,145,1992,,,2018/11/09,,,read,,,,1,0
285899,Two in the Far North,Margaret E. Murie,"Murie, Margaret E.",Terry Tempest Williams,"=""088240489X""","=""9780882404899""",0,4.20,Alaska Northwest Books,Paperback,369,2003,1957,,2018/11/09,to-read,to-read (#10),to-read,,,,0,0
836969,Tales of an Empty Cabin,Grey Owl,"Owl, Grey",,"=""1552630307""","=""9781552630303""",0,4.16,Key Porter Books,Paperback,296,1998,1936,,2018/11/08,to-read,to-read (#9),to-read,,,,0,0
453231,Travels in Alaska,John Muir,"Muir, John",,"=""0781201543""","=""9780781201544""",3,3.90,Reprint Services Corp,Library Binding,344,1915,1915,2018/11/08,2018/11/06,,,read,,,,1,0
13180890,"Bloody Sunday: Truths, Lies and the Saville Inquiry",Douglas Murray,"Murray, Douglas",,"=""1849541493""","=""9781849541497""",0,4.25,Biteback Publishing,Hardcover,320,2012,2011,,2018/11/07,to-read,to-read (#8),to-read,,,,0,0
6801529,The Gonzo Papers Anthology (The Gonzo Papers #1-3),Hunter S. Thompson,"Thompson, Hunter S.",,"=""1447200527""","=""9781447200529""",0,4.30,Picador,Paperback,1238,2009,2007,,2018/11/07,to-read,to-read (#7),to-read,,,,0,0
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",0,4.21,Bantam Books,Paperback,226,1998,1988,,2018/11/06,to-read,to-read (#6),to-read,,,,0,0
38561954,American Prison: A Reporter's Undercover Journey into the Business of Punishment,Shane Bauer,"Bauer, Shane",,"=""0735223580""","=""9780735223585""",5,4.23,Penguin Press,Hardcover,351,2018,2018,2018/11/06,2018/11/04,,,read,,,,1,0
79909,In Patagonia,Bruce Chatwin,"Chatwin, Bruce",Nicholas Shakespeare,"=""0142437190""","=""9780142437193""",0,3.65,Penguin Classics,Paperback,199,2003,1977,,2018/11/05,to-read,to-read (#4),to-read,,,,0,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.19,Harper,ebook,450,2017,2015,2018/11/04,2018/10/26,,,read,,,,1,0
13581174,Člověk v drsné přírodě,Jaroslav pavlíček,"pavlíček, Jaroslav",,"=""8072520598""","=""9788072520596""",0,3.76,Práh,Paperback,102,2002,2002,,2018/11/02,,,read,,,,1,0
30687200,The Stranger in the Woods: The Extraordinary Story of the Last True Hermit,Michael Finkel,"Finkel, Michael",Mark Bramhall,"=""1101924926""","=""9781101924921""",4,3.90,Books on Tape,Audio CD,5,2017,2017,2018/11/02,2018/11/01,,,read,,,,1,0
86174,Adventure Capitalist: The Ultimate Road Trip,Jim Rogers,"Rogers, Jim",,"=""0812967267""","=""9780812967265""",4,4.00,Random House Publishing Group,Paperback,392,2004,2003,,2018/11/01,,,read,,,,1,0
12369449,The Man Who Quit Money,Mark Sundeen,"Sundeen, Mark",,"=""1594485690""","=""9781594485695""",4,3.74,Riverhead,Paperback,260,2012,2012,,2018/11/01,,,read,,,,1,0
